DARPA_1	DARPA_10	DARPA_11	DARPA_12	DARPA_13	DARPA_14	DARPA_15	DARPA_16	DARPA_17	DARPA_18	DARPA_19	DARPA_2	DARPA_20	DARPA_3	DARPA_31	DARPA_32	DARPA_33	DARPA_34	DARPA_35	DARPA_36
19.313	19.761	17.965	16.57	19.351	19.689	18.155	13.524	16.221	14.303	16.917	16.078	20.45	17.023	13.165	13.758	13.154	13.255	13.105	15.373
19.536	19.977	18.14	16.695	19.516	19.797	18.368	13.708	16.374	14.401	17.101	16.238	20.62	17.184	13.287	13.924	13.255	13.329	13.252	15.507
19.709	20.125	18.275	16.809	19.751	20.019	18.55	13.863	16.488	14.529	17.245	16.389	20.77	17.335	13.42	14.067	13.388	13.425	13.372	15.632
19.844	20.263	18.409	16.976	19.871	20.196	18.661	13.977	16.637	14.634	17.383	16.529	20.917	17.509	13.56	14.162	13.521	13.527	13.522	15.774
20.054	20.401	18.585	17.075	20.029	20.384	18.813	14.123	16.77	14.74	17.531	16.725	21.088	17.699	13.753	14.284	13.67	13.637	13.668	15.948
20.173	20.527	18.72	17.196	20.185	20.583	18.921	14.282	16.904	14.858	17.748	16.844	21.286	17.86	13.882	14.408	13.795	13.762	13.783	16.072
20.309	20.712	18.881	17.324	20.338	20.711	19.08	14.439	17.047	14.981	17.851	16.951	21.443	17.971	14.005	14.5	13.922	13.88	13.881	16.219
20.336	20.667	18.931	17.396	20.345	20.821	19.144	14.521	17.082	15.033	17.967	17.045	21.471	18.005	14.082	14.612	14.007	13.937	13.994	16.27
20.475	20.741	18.928	17.497	20.444	20.957	19.272	14.586	17.15	15.133	18.084	17.14	21.659	18.075	14.142	14.698	14.113	14.073	14.077	16.377
20.56	20.803	18.991	17.525	20.547	21.085	19.337	14.7	17.237	15.178	18.165	17.221	21.786	18.148	14.204	14.816	14.222	14.148	14.173	16.456
20.657	20.836	18.996	17.517	20.624	21.149	19.432	14.755	17.258	15.246	18.267	17.229	21.798	18.224	14.277	14.867	14.304	14.264	14.27	16.561
20.643	20.908	19.079	17.508	20.681	21.195	19.514	14.866	17.294	15.323	18.278	17.282	21.82	18.269	14.363	14.99	14.418	14.354	14.371	16.665
20.631	20.993	19.098	17.579	20.701	21.277	19.518	14.974	17.314	15.408	18.336	17.313	21.827	18.273	14.486	15.101	14.551	14.454	14.478	16.769
20.668	20.971	19.149	17.614	20.765	21.34	19.548	15.068	17.348	15.464	18.411	17.337	21.815	18.323	14.539	15.193	14.66	14.552	14.559	16.891
20.71	20.964	19.171	17.541	20.745	21.393	19.587	15.139	17.314	15.448	18.493	17.366	21.85	18.344	14.596	15.292	14.741	14.622	14.673	17.009
20.711	21.017	19.205	17.57	20.74	21.446	19.628	15.241	17.335	15.466	18.551	17.38	21.923	18.325	14.646	15.401	14.838	14.694	14.733	17.102
20.718	21.017	19.229	17.539	20.717	21.543	19.684	15.328	17.353	15.499	18.647	17.445	21.937	18.331	14.755	15.541	14.945	14.821	14.871	17.212
20.663	21.04	19.286	17.67	20.753	21.536	19.736	15.398	17.343	15.533	18.7	17.456	21.978	18.349	14.875	15.653	15.065	14.939	14.945	17.349
20.62	21.018	19.326	17.719	20.846	21.596	19.781	15.527	17.24024	15.574	18.71	17.409409	21.971	18.39	14.971	15.681	15.124	14.992	14.947	17.39
20.717	21.076	19.395	17.79	20.912	21.672	19.829	15.632	17.266266	15.674	18.795	17.426426	21.967	18.436	15.079	15.828	15.195	15.094	15.051	17.534
20.797	21.179	19.475	17.866	20.963	21.728	19.869	15.717	17.316317	15.748	18.893	17.41041	21.976	18.487	15.208	15.953	15.305	15.184	15.108	17.611
20.733	21.208	19.432	17.755	20.951	21.793	19.876	15.766	17.217216	15.746	18.877	17.347347	21.937	18.403	15.324	16.084	15.413	15.276	15.22	17.725
20.669	21.166	19.472	17.766	21.073	21.816	19.92	15.854	17.252253	15.791	18.901	17.425425	21.921	18.435	15.427	16.146	15.56	15.356	15.306	17.964
20.571	21.095	19.471	17.783	21.005	21.792	19.973	15.905	17.253254	15.845	18.893	17.36937	21.879	18.366	15.553	16.254	15.683	15.434	15.397	18.063
20.109	20.702	19.514	17.838	20.548	21.823	19.347	15.605	17.34935	15.822	18.557	17.352352	21.813	18.35	15.697	16.34	15.768	15.523	15.466	18.162
20.038	20.709	19.528	17.797	20.516	21.838	19.345	15.656	17.345345	15.822	18.561	17.32032	21.755	18.318	15.835	16.443	15.847	15.627	15.543	18.262
20.009	20.661	19.522	17.847	20.534	21.861	19.388	15.698	17.353354	15.827	18.597	17.334333	21.774	18.314	15.982	16.585	15.984	15.686	15.644	18.406
20.014	20.67	19.567	17.856	20.516	21.864	19.443	15.734	17.363363	15.832	18.629	17.293293	21.677	18.321	16.119	16.692	16.1	15.838	15.777	18.504
20.024	20.621	19.52	17.859	20.507	21.869	19.536	15.788	17.40841	15.817	18.658	17.292292	21.729	18.281	16.209	16.82	16.159	15.885	15.849	18.633
20.082	20.621	19.552	17.95	20.602	21.944	19.619	15.937	17.434435	15.852	18.689	17.37938	21.811	18.295	16.359	16.916	16.217	15.995	15.992	18.722
20.161	20.656	19.578	18.004	20.651	21.96	19.676	15.999	17.424425	15.887	18.776	17.402403	21.773	18.321	16.435	17.023	16.324	16.019018	16.082	18.856
20.224	20.64	19.595	18.031	20.722	22.101	19.774	16.04	17.51952	15.918	18.841	17.475475	21.784	18.359	16.524	17.135	16.39	16.081081	16.182	18.948
20.299	20.696	19.703	18.071	20.869	22.154	19.841	16.095	17.53053	16.013	18.931	17.548548	21.83	18.47	16.647	17.251	16.492	16.227228	16.268	19.069
20.425	20.734	19.738	18.158	20.959	22.251	19.949	16.168	17.667667	16.105	19.05	17.610611	21.95	18.504	16.751	17.419	16.627	16.315315	16.398	19.196
20.46	20.805	19.815	18.303	21.012	22.358	20.057	16.267	17.76977	16.194	19.078	17.652653	22.012	18.628	16.842	17.594	16.735	16.433434	16.467	19.29
20.586	20.887	19.888	18.401	21.053	22.5	20.092	16.314	17.855856	16.251	19.169	17.703703	22.129	18.653	16.927	17.705	16.82	16.516516	16.582	19.36
20.652	20.937	19.973	18.443	21.178	22.578	20.217	16.451	17.892893	16.294	19.325	17.772772	22.252	18.752	17.039	17.793	16.91	16.567568	16.673	19.503
20.787	21.009	20.063	18.547	21.331	22.675	20.305	16.551	17.96096	16.348	19.395	17.828829	22.385	18.807	17.104	17.885	17.011	16.65966	16.767	19.654
20.892	21.08	20.161	18.591	21.395	22.787	20.411	16.685	18.016016	16.415	19.489	17.94094	22.483	18.983	17.113	17.94	17.053	16.762762	16.843	19.71
20.977	21.074	20.197	18.671	21.556	22.911	20.491	16.774	18.043043	16.491	19.591	18.028028	22.57	19.012	17.136	18.036	17.139	16.793795	16.933	19.77
21.078	21.206	20.278	18.832	21.725	23.093	20.619	16.864	18.102102	16.513	19.739	18.096096	22.668	19.185	17.171	18.14	17.219	16.88989	17.045	19.913
21.132	21.318	20.387	18.912	21.829	23.258	20.691	16.977	18.238237	16.672	19.816	18.125126	22.774	19.271	17.238	18.242	17.293	16.995996	17.147	20.066
21.211	21.397	20.459	19.033	22.009	23.391	20.828	17.071	18.368368	16.75	19.922	18.207207	22.888	19.35	17.391	18.34	17.385	17.120121	17.235	20.138
21.306	21.491	20.474	19.051	22.144	23.493	20.95	17.174	18.425425	16.81	20.026	18.278278	22.954	19.433	17.485	18.439	17.492	17.227228	17.338	20.266
21.461	21.635	20.577	19.227	22.265	23.55	21.022	17.265	18.517517	16.928	20.172	18.336336	23.127	19.543	17.581	18.61	17.598	17.325325	17.428	20.458
21.537	21.754	20.691	19.343	22.392	23.72	21.182	17.38	18.64064	17.016	20.297	18.46947	23.25	19.643	17.682	18.707	17.66	17.376377	17.498	20.52
21.636	21.894	20.766	19.461	22.442	23.861	21.314	17.478	18.733734	17.058	20.378	18.531532	23.419	19.746	17.757	18.82	17.756	17.464464	17.555	20.66
