PID4413_Tumor_RNA		PID4418_Tumor_insulinoma_RNA		PID4447_Tumor_RNA		PID4468_Tumor_MTC_RNA		PID4596_13006_Tumor_RNA		PT087_Primary_RNA		PT087_Recurrent_RNA		PT165_Primary_RNA		PT165_Recurrent_RNA		PT208_P1_Tumor_RNA		PT208_P2_Tumor_RNA		PT211_S1_Tumor_RNA		PT211_S2_Tumor_RNA		PT218_Primary_RNA	
41.217		50.75075		52.018		110.414		57.197197		16.35936		15.584		12.429		10.176176		74.389		127.639		46.947		28.789		8.535	
41.715		51.458458		52.729		112.388		57.958958		16.531532		15.778		12.526		10.286286		75.603		128.738		47.609		29.16		8.626	
42.389		52.145145		53.562		114.026		58.641644		16.772772		16.007		12.611		10.402403		76.476		130.273		47.963		29.545		8.699	
43.002		52.725727		54.256		116.064		59.27828		16.95095		16.244		12.725		10.6066065		77.314		131.683		48.473		29.926		8.812	
43.605		53.15015		54.973		118.255		60.096096		17.169168		16.453		12.855		10.825826		78.24		133.607		49.113		30.344		8.889	
44.118		53.894894		55.848		120.42		60.703705		17.386387		16.67		12.982		10.983968		79.405		135.362		49.736		30.744		8.999	
44.679		54.53053		57.008		122.428		61.45045		17.559559		16.881		13.129		11.085171		80.271		136.832		50.598		31.041		9.108	
45.112		55.12012		57.838		124.055		62.07107		17.764765		17.121		13.269		11.250501		81.176		138.705		51.108		31.412		9.163	
45.672		55.95996		59.184		125.4		62.674675		17.961962		17.403		13.406		11.382766		82.085		140.257		51.57		31.815		9.249	
46.228		56.643642		60.03		127.09		63.24124		18.146147		17.658		13.576		11.574148		83.126		141.678		52.187		32.126		9.349	
46.727		57.275276		60.724		128.538		63.836838		18.341341		17.879		13.724		11.724449		84.186		143.106		52.563		32.5		9.434	
47.284		58.028027		61.665		129.757		64.44544		18.569569		18.113		13.863		11.8727455		85.304		144.576		53.001		32.824		9.549	
47.856		58.493492		62.543		130.697		65.052055		18.66066		18.38		14.007		11.983968		86.24		146.336		53.585		33.161		9.654	
48.416		54.26827		63.223		132.12		66.044044		18.957958		18.613		13.46		12.119239		87.437		147.758		54.155		33.478		9.742	
48.954		54.856857		63.944		133.812		66.88088		19.133133		18.858		13.63		12.250501		88.397		149.184		54.695		33.782		9.82	
49.551		55.42943		64.586		135.676		67.83884		19.322323		19.121		13.804		12.399799		89.4		150.655		55.428		34.124		9.866	
50.23		56.06006		65.422		137.298		68.52753		19.592592		19.355		13.974		12.517035		90.511		152.176		56.021		34.53		9.936	
50.938		56.55856		66.253		139.019		69.20721		19.81081		19.677		14.176		12.669338		91.443		153.602		56.576		34.956		10.044	
51.426		57.17117		67.137		140.47		69.8048		20.040041		19.892		14.315		12.815631		92.637		155.088		57.172		35.402		10.165	
52.081		57.831833		67.807		142.625		70.43443		20.272272		20.175		14.445		12.941884		93.756		156.517		57.588		35.822		10.273	
52.7		58.227226		68.625		144.584		71.07407		20.502502		20.404		14.6		13.060121		94.789		158.07		58.164		35.937		10.397	
53.314		58.876877		69.518		146.018		71.66767		20.783783		20.622		14.759		13.226453		95.913		159.139		58.672		36.318		10.503	
